Kurs|Thema|Frage|Hinweis_1|Hinweis_2|Antwort|Extra|Real_World_Case|Mnemonik|MC_Richtig|MC_Falsch1|MC_Falsch2|MC_Falsch3|Schlagwörter
Bachelor Professional IT|Anforderungen (Praxistransfer: Randbedingungen)|Ein Architekturbüro plant ein neues Cloud-System. Warum müssen "Randbedingungen" laut dem "So What? Layer" noch vor den funktionalen und qualitativen Features zwingend und prioritär ermittelt werden?|Unverhandelbare Restriktionen|Externe Fakten (Compliance/Gesetze)|Randbedingungen (z.B. DSGVO, gesetzliche Schnittstellen) entziehen sich oft der Verhandlung, da sie <b>externe Fakten</b> darstellen.<br>- Sie schränken die <b>Architekturfreiheit massiv ein</b>.<br>- Fehlen sie zu Beginn, drohen fatale Fehldesigns, die später nicht mehr (oder nur sehr teuer) heilbar sind.|Der "So What? Layer" zwingt IT-Manager dazu, Konsequenzen zu bedenken. Wenn man ein System plant und spät merkt, dass Patientendaten verarbeitet werden (Randbedingung: KRITIS / DSGVO Art. 9), muss womöglich die gesamte, fast fertige AWS-Cloud-Architektur verworfen und On-Premise neu gebaut werden. Randbedingungen sind die harten Leitplanken des Projekts.|Das Team plant eine KI zur Gesichtserkennung für Mitarbeiter (Funktional). Bevor eine Zeile Code geschrieben wird, stoppt die Rechtsabteilung das Projekt (Randbedingung: Betriebsrat und Datenschutz verbieten biometrische Überwachung ohne explizite Notwendigkeit).|Randbedingungen = Die unerbittlichen Leitplanken des Projekts|Weil sie unverhandelbare, externe Fakten (z.B. Gesetze) darstellen, die die Architekturfreiheit massiv und von vornherein einschränken.|Weil Randbedingungen vom Marketing-Team für Werbekampagnen benötigt werden.|Weil der Gesetzgeber vorschreibt, dass Randbedingungen immer in der Programmiersprache C++ formuliert werden müssen.|Weil Randbedingungen das Budget künstlich aufblähen, was für die Aktionäre gut aussieht.|Randbedingungen Transfer Architektur So_What_Layer DSGVO Compliance Restriktionen
Bachelor Professional IT|Qualitätskriterien (Einzelanforderung)|Welche essenziellen Qualitätskriterien müssen auf der Ebene einer Einzelanforderung erfüllt sein, um eine objektive Abnahme zu garantieren, Interpretationsspielraum zu verhindern und die Testpräzision zu erhöhen?|Objektive Abnahme & klares Verständnis|Testbar, Eindeutig, Atomar|Auf Ebene der <b>Einzelanforderung</b> gelten strenge Qualitätskriterien:<br>- <b>Testbar:</b> Ermöglicht eine objektive Abnahme durch Testfälle.<br>- <b>Eindeutig:</b> Kein Interpretationsspielraum, gleiches Verständnis bei allen Stakeholdern.<br>- <b>Atomar:</b> Beinhaltet nur eine einzige Aussage (erhöht Testpräzision).<br>- Weitere: Vollständig, Relevant, Konsistent, Kontextfrei, Priorisiert.|Wenn eine Anforderung nicht testbar ist, kann im Rahmen eines Werkvertrags nicht juristisch einwandfrei geklärt werden, ob die Leistung erbracht wurde. "Atomar" zwingt dazu, Schachtelsätze (mit "und/oder") aufzuspalten. Schlägt beim Testen nämlich nur ein Teilaspekt fehl, müsste sonst die gesamte (komplexe) Anforderung den Status "failed" erhalten.|Statt: "Das System speichert und druckt die Rechnung" -> Req1: "Das System speichert..." (Atomar), Req2: "Das System druckt..." (Atomar). Fällt nun der Drucker aus, ist Req1 trotzdem "passed".|TEA: Testbar, Eindeutig, Atomar (Der Anforderungs-TÜV)|Sie muss "Testbar" (ermöglicht objektive Abnahme), "Eindeutig" (verhindert Interpretationsspielraum) und "Atomar" (enthält nur eine einzige Aussage) sein.|Die Anforderung muss in einer komplexen Fachsprache geschrieben sein, viele Ziele kombinieren und nur für Entwickler verständlich sein.|Sie darf keine klaren Metriken enthalten, um dem Programmierer maximale künstlerische Freiheit zu lassen.|Sie muss "Kontextabhängig" sein, sodass sie nur von Personen verstanden wird, die seit 10 Jahren im Unternehmen arbeiten.|Qualitätskriterien Einzelanforderung Testbar Atomar Eindeutig RE
Bachelor Professional IT|Qualitätskriterien (Gesamtspezifikation & Gold Plating)|Welche Qualitätskriterien gelten speziell für die Spezifikation als Gesamtdokument und welches Kriterium auf Einzel-Ebene verhindert gezielt das teure "Gold Plating" (Übererfüllung)?|Vermeidung unnötiger Kosten & Gesamtsicht|Traceability & Relevanz|Für die <b>Spezifikation als Ganzes</b> gelten Kriterien wie:<br>- <b>Traceability</b> (verlinkt/verfolgbar).<br>- Modifizierbar, strukturiert, begriffssuchbar und gemeinsam zugreifbar.<br>Auf Ebene der Einzelanforderung verhindert das Kriterium <b>Relevant</b> das sogenannte "Gold Plating", da nur Funktionen spezifiziert werden, die zwingend zur Erreichung der Systemziele notwendig sind.|Gold Plating (das "Vergolden" von Software) kostet das Projekt Budget und Zeit für Funktionen, die der Kunde nie verlangt hat und keinen Business Value liefern. Die Gesamtspezifikation muss modifizierbar sein, da Anforderungen im agilen Zeitalter "leben" (Change Management) und Traceability-Links bei Änderungen intakt bleiben müssen.|Ein Entwickler baut eine aufwendige 3D-Animation beim Logout-Screen ein, weil er es "cool" findet (Gold Plating). Das RE lehnt dies ab, da diese Funktion nicht das Kriterium "Relevant" für das Geschäftsziel erfüllt.|Relevant = Nur das Nötige (Kein Gold Plating der Software)|Die Spezifikation muss verfolgbar (Traceability) und modifizierbar sein; das Einzel-Kriterium "Relevant" verhindert Gold Plating, da nur das zur Zielerreichung Notwendige definiert wird.|Die Spezifikation darf nach der Erstellung nie wieder geändert werden (Fixierung); das Kriterium "Atomar" erzwingt das Gold Plating.|Die Spezifikation muss unstrukturiert sein, um Kreativität zu fördern; das Kriterium "Vollständig" fordert explizit unnötige Zusatzfunktionen.|Die Gesamtspezifikation muss von der IT-Leitung geheim gehalten werden; das Kriterium "Konsistent" verlangt den Einbau unbezahlter Features.|Spezifikation Gold_Plating Relevanz Traceability Qualität Gesamtdokument
Bachelor Professional IT|RE-Prozess (Kernaktivitäten nach IREB)|Welche vier zyklischen Hauptaktivitäten bilden den Kern des Requirements-Engineering-Prozesses nach IREB?|Zyklisches Vorgehen (Kein Wasserfall)|Vom Finden bis zum Managen|Der RE-Prozess nach IREB umfasst vier zyklische Hauptaktivitäten:<br>- <b>Ermitteln:</b> Anforderungen aus Quellen (Stakeholder, Dokumente) gewinnen.<br>- <b>Dokumentieren:</b> Beschreibung in natürlicher Sprache (Prosa) oder Modellen (z.B. UML).<br>- <b>Prüfen und Abstimmen:</b> Qualitätssicherung (Reviews) und Herbeiführen von Konsens.<br>- <b>Verwalten:</b> Flankierende Aktivitäten wie Versionierung und Änderungsmanagement.|RE ist ausdrücklich kein starrer, linearer Prozess. Wenn beim "Prüfen" Fehler auffallen, springt man im Zyklus zurück zum "Ermitteln". Das "Verwalten" (Requirements Management) läuft dabei als Querschnittsfunktion permanent parallel zu den anderen drei definierenden Phasen (Requirements Development).|Ein Analyst befragt den Kunden (Ermitteln), zeichnet ein UML-Diagramm (Dokumentieren), zeigt es dem Entwickler zur Freigabe (Prüfen/Abstimmen) und legt es versioniert im Jira ab (Verwalten).|EDPA-V (Ermitteln, Dokumentieren, Prüfen/Abstimmen, Verwalten)|Ermitteln (Gewinnung), Dokumentieren (Beschreibung), Prüfen/Abstimmen (Konsens/QS) und Verwalten (Versionierung/Änderung).|Programmieren, Testen, Ausliefern und Warten.|Ausschließlich das lineare Abarbeiten von Management-Vorgaben ohne eigenes Ermitteln.|Budgetieren, Ressourcen planen, Server aufbauen und Quellcode schreiben.|IREB RE_Prozess Ermitteln Dokumentieren Prüfen Verwalten Zyklus
Bachelor Professional IT|RE-Prozess (Schnittstellen & PM)|Wie verteilen sich die Rollen zwischen dem RE-Team, dem Projektmanagement (PM) und dem Realisierungs-Team und welche Aktivitäten teilen sich RE und PM?|Verstehen vs. Steuern vs. Ausführen|Gemeinsame Schnittmengen (Stakeholder, Risiko)|<b>Rollenverteilung:</b> Das <b>RE-Team</b> (versteht die Aufgaben) liefert die Spezifikation. Das <b>Realisierungs-Team</b> (führt aus) baut das System. Das <b>Projektmanagement (PM)</b> koordiniert, plant und steuert beide.<br><b>Gemeinsame Aktivitäten (RE & PM):</b><br>- Stakeholder- und Risikomanagement.<br>- Zielermittlung und Kommunikationsmanagement.<br>- Schätzungen, Priorisierung und Änderungsmanagement.|Oft kommt es in der Praxis zu Konflikten, weil die Grenzen verschwimmen. Während der Projektmanager (PM) das Budget und den Zeitplan im Fokus hat (Projektrisiken), fokussiert sich der Requirements Engineer (RE) auf die fachliche Lösung und Produktqualität (Produktrisiken). Beide müssen zwingend bei der Priorisierung und beim Stakeholdermanagement eng zusammenarbeiten.|Der RE stellt fest, dass eine neue Schnittstelle hochkomplex ist (Produktrisiko). Er meldet dies dem PM, der daraufhin den Sprint-Plan anpasst und mehr Entwicklerressourcen einplant (Projektrisiko & Steuerung).|RE versteht, Realisierung baut, PM steuert (Die heilige Dreifaltigkeit)|RE liefert Spezifikationen (Verstehen), Realisierung baut (Ausführen), PM plant/steuert; RE und PM teilen sich Aufgaben wie Risiko- und Stakeholdermanagement.|Das RE-Team übernimmt die alleinige Budgetplanung, während das PM den Quellcode schreibt.|PM und RE haben keine gemeinsamen Schnittstellen, da das PM nur mit dem Realisierungs-Team kommuniziert.|Das Realisierungs-Team plant das Risiko, während das PM die Spezifikationen in UML modelliert.|Schnittstellen Projektmanagement PM Realisierung Stakeholder Risikomanagement
Bachelor Professional IT|Rollen im RE (Definitionen)|Wie definieren und unterscheiden sich die Kernrollen "Requirements Engineer", "Requirements Manager" und "Stakeholder" in einem IT-Projekt?|Operativ vs. Administrativ vs. Einfluss|Bindeglied, Tool-Admin, Kunde|<b>Requirements Engineer:</b> Das <b>Bindeglied</b> zwischen Stakeholdern und Entwicklung; operativ verantwortlich für Ermittlung und Dokumentation.<br>- <b>Requirements Manager:</b> Administrativ verantwortlich für <b>RE-Prozesse, Tools, Workflows</b> und die Sicherstellung der Traceability.<br>- <b>Stakeholder:</b> Personen oder Organisationen mit (in-)direktem <b>Einfluss</b> auf die Anforderungen (z.B. Nutzer, Auftraggeber, Tester).|Die strikte Trennung dieser Rollen verhindert Chaos. Wenn ein Stakeholder (z.B. Marketing-Chef) direkt mit dem Entwickler spricht, entsteht "Scope Creep", da Anforderungen nicht systematisch erfasst werden. Der Requirements Engineer agiert hier als "Türsteher" und Übersetzer, während der Manager das Ticketsystem (z.B. Jira) konfiguriert, damit der Engineer sauber arbeiten kann.|Ein Arzt (Stakeholder) erklärt, was die Praxissoftware können muss. Der Requirements Engineer interviewt ihn und schreibt die Use Cases. Der Requirements Manager sorgt dafür, dass diese Use Cases im Tooling korrekt versioniert und verlinkt werden.|Engineer = Inhalt, Manager = Werkzeug, Stakeholder = Wunsch|Der Engineer ermittelt/dokumentiert als Bindeglied, der Manager steuert Prozesse/Tools (Traceability) und Stakeholder sind die Einflussnehmer.|Der Stakeholder programmiert das System, der Manager testet es und der Engineer verkauft es.|Alle drei Rollen sind Synonyme für den agilen Scrum Master ohne inhaltliche Differenzierung.|Der Engineer stellt nur das Server-Hosting bereit, während der Manager ausschließlich die Hardware kauft.|Rollen Requirements_Engineer Requirements_Manager Stakeholder Definition Kommunikation
Bachelor Professional IT|Systemabgrenzung (Grenzen)|Wie unterscheiden sich die "Systemgrenze" und die "Kontextgrenze" hinsichtlich ihrer Trennfunktion und Bedeutung für das IT-Projekt?|Gestaltungsraum vs. Umgebungsfilter|Verantwortung vs. Analyse-Komplexität|<b>Systemgrenze:</b> Trennt das gestaltbare System von seiner Umgebung und legt fest, was im <b>Projektverantwortungsbereich</b> liegt.<br>- <b>Kontextgrenze:</b> Trennt den <b>relevanten</b> Teil der Umgebung vom <b>irrelevanten</b> Teil.<br>- Sie filtert Einflüsse, die keine Anforderungen generieren, und bestimmt so die Komplexität der Analysephase.|Wenn die Grenzen falsch gesetzt werden, analysiert das Team monatelang irrelevante Fremdsysteme (falsche Kontextgrenze) oder baut Funktionen, die eigentlich ein anderes Team liefern sollte (falsche Systemgrenze). Dies führt zu explodierenden Kosten und Terminverzug.|Ein Team baut eine App. Das Smartphone-OS (iOS/Android) ist relevant (innerhalb Kontextgrenze), aber das Team programmiert das OS nicht selbst (außerhalb Systemgrenze). Die Farbe der Handyhülle des Nutzers ist komplett irrelevant (außerhalb der Kontextgrenze).|System = Mein Revier; Kontext = Meine Nachbarn; Rest = Mir egal.|Systemgrenze trennt das gestaltbare System von der Umgebung (Verantwortungsbereich); Kontextgrenze trennt die relevante Umgebung von der irrelevanten (Filter).|Systemgrenze definiert die Programmiersprache; Kontextgrenze legt die Server-Hardware fest.|Beide Grenzen sind Synonyme für den Zeitpunkt, an dem das Projektbudget restlos aufgebraucht ist.|Systemgrenze ist für die Hardware zuständig, Kontextgrenze ausschließlich für die Software-Lizenzen.|Systemgrenze Kontextgrenze Abgrenzung Scope Projektverantwortung RE
Bachelor Professional IT|Systemkontext & Modellierung (SA)|Was definiert den "Systemkontext" und wie wird dieser typischerweise in einem Kontextdiagramm nach der Strukturierten Analyse (SA) visualisiert?|Informationsbasis & Quellen|Blackbox & Datenflüsse|Der <b>Systemkontext</b> umfasst die Gesamtheit aller für die Anforderungen relevanten Aspekte (Stakeholder, Nachbarsysteme, Prozesse, Gesetze).<br>- Er bildet die Informationsbasis für die gesamte Ermittlung.<br>- Das <b>Kontextdiagramm (SA)</b> visualisiert das System als <b>Blackbox</b> in der Mitte.<br>- Nachbarsysteme/Akteure werden als Rechtecke dargestellt, verbunden durch <b>gerichtete Datenflüsse</b>.|Das Kontextdiagramm ist das mächtigste Werkzeug in der frühen RE-Phase. Es zwingt alle Beteiligten, die Flughöhe beizubehalten (Blackbox-Sicht). Wie das System im Inneren funktioniert (Whitebox), ist zu diesem Zeitpunkt irrelevant. Es geht nur um die Schnittstellen (Interfaces) nach außen: Wer sendet Daten hinein? Wer empfängt Daten heraus?|Für einen neuen Webshop ist das "System" die Blackbox in der Mitte. Rechtecke drumherum sind "Kunde" (sendet Bestelldaten), "Zahlungsanbieter" (empfängt Transaktionsdaten) und "DSGVO" (sendet rechtliche Restriktionen).|Kontext = Die Blackbox und ihre Nachbarn (Wer spricht mit wem?)|Er umfasst alle anforderungsrelevanten Aspekte; im Diagramm ist das System eine Blackbox (Mitte) mit gerichteten Datenflüssen zu Nachbarn/Akteuren (Rechtecke).|Er ignoriert externe Gesetze völlig; im Diagramm wird nur der interne Quellcode detailliert dargestellt.|Er beschreibt ausschließlich die Projektkosten; visualisiert wird dies in Form eines klassischen Gantt-Diagramms.|Er definiert die internen Hardware-Komponenten; das Diagramm zeigt eine physische Server-Rack-Ansicht.|Systemkontext Kontextdiagramm Blackbox SA Datenfluss Strukturierte_Analyse
Bachelor Professional IT|Analyse-Methodiken (SA, OOA & ARIS)|Wie unterscheiden sich Strukturierte Analyse (SA), Objektorientierte Analyse (OOA) und das ARIS-Konzept in ihrem Kernansatz zur Systemmodellierung?|Top-Down vs. Klassen vs. Ganzheitlich|DFD, Kapselung, Haus der 5 Sichten|<b>SA (Strukturierte Analyse):</b> Nutzt Top-Down-Zerlegung via Datenflussdiagrammen (DFD).<br>- <b>OOA (Objektorientierte Analyse):</b> Modelliert Klassen und deren Verhalten (Kapselung).<br>- <b>ARIS (Architektur integrierter Informationssysteme):</b> Bietet als "Haus der 5 Sichten" (Daten, Funktion, Organisation, Leistung, Steuerung) eine ganzheitliche Beschreibung von Geschäftsprozessen über 3 Ebenen (Fach-, DV-Konzept, Implementierung).|Die Wahl der Methode prägt die gesamte Architektur. SA ist historisch gewachsen und prozessorientiert. OOA ist heute der Standard für Software (Java, C#). ARIS geht weit über reine IT hinaus und modelliert das gesamte Unternehmen (Enterprise Architecture), um die Brücke zwischen Betriebswirtschaft und IT zu schlagen.|Eine Bank modelliert: SA zeigt den Geldfluss, OOA definiert das Objekt "Konto" mit Methoden wie "einzahlen()", ARIS zeigt den gesamten Kreditvergabeprozess von der Kundenberatung (Organisation) bis zum Datenbank-Commit (Implementierung).|SA = Fluss, OOA = Objekte, ARIS = Haus (5 Sichten, 3 Ebenen).|SA zerlegt top-down (Datenfluss), OOA modelliert gekapselte Klassen, und ARIS bietet eine ganzheitliche Prozesssicht (5 Sichten, 3 Ebenen).|SA modelliert Klassen, OOA nutzt Top-Down-Datenflüsse und ARIS definiert reine Hardware-Sichten.|ARIS beschreibt nur die Programmiersprache Java, während SA und OOA für die Budgetplanung genutzt werden.|Alle drei sind reine Netzwerkprotokolle, die zur Fehleranalyse in Routern eingesetzt werden.|ARIS OOA SA Modellierung DFD Haus_der_5_Sichten
Bachelor Professional IT|Kano-Modell (Ermittlung & Bewusstseinsebene)|Auf welchen Bewusstseinsebenen befinden sich die verschiedenen Kano-Merkmale bei den Stakeholdern und mit welcher spezifischen methodischen Fragetechnik werden sie ermittelt?|Psychologie der Stakeholder|Funktional vs. Dysfunktional|Die Merkmale liegen auf unterschiedlichen Ebenen:<br>- <b>Basismerkmale</b> = Unterbewusstes Wissen.<br>- <b>Leistungsmerkmale</b> = Bewusstes Wissen.<br>- <b>Begeisterungsmerkmale</b> = Unbewusstes Wissen.<br>Die methodische Ermittlung erfolgt über den <b>Kano-Fragebogen</b>, der systematisch <b>funktionale</b> (Wie fühlen Sie sich, wenn das Merkmal da ist?) und <b>dysfunktionale Fragen</b> (Wie fühlen Sie sich, wenn es fehlt?) kombiniert.|Das größte Problem im Requirements Engineering ist das implizite (unterbewusste) Wissen. Da Basismerkmale für den Kunden extrem selbstverständlich sind, wird er sie im Interview niemals von sich aus erwähnen ("Es ist doch logisch, dass das System Passwörter verschlüsselt!"). Nur durch die dysfunktionale Gegenfrage ("Was wäre, wenn Passwörter in Klartext stehen?") wird dieses unterbewusste Muss-Kriterium aufgedeckt.|Der Analyst fragt: "Wie bewerten Sie es, wenn die App einen Dark Mode hat?" (Funktional). Anschließend: "Wie bewerten Sie es, wenn die App keinen Dark Mode hat?" (Dysfunktional). Die Matrix beider Antworten ordnet das Merkmal eindeutig einer Kano-Kategorie zu.|Das Kano-Kreuzverhör: "Was wäre wenn ja?" vs. "Was wäre wenn nein?"|Bewusstsein: Basis (unterbewusst), Leistung (bewusst), Begeisterung (unbewusst). Ermittlung durch den Kano-Fragebogen (funktionale vs. dysfunktionale Fragen).|Bewusstsein: Alle Merkmale sind den Stakeholdern stets vollumfänglich bewusst. Ermittlung erfolgt durch reines Raten des Architekten.|Bewusstsein: Basis (bewusst), Leistung (unbewusst), Begeisterung (unterbewusst). Ermittlung durch das Ishikawa-Diagramm.|Bewusstsein: Keine Merkmale sind bewusst. Ermittlung erfolgt über den Quellcode-Review nach der Auslieferung.|Kano_Fragebogen Funktional Dysfunktional Bewusstsein RE Unterbewusst Methodik
Bachelor Professional IT|Anforderungsermittlung (Auswahlmatrix & Kano)|Wie korrelieren die vier Hauptkategorien der Ermittlungstechniken (Befragung, Kreativität, Beobachtung, Artefaktbasiert) strukturell mit den Merkmalen des Kano-Modells?|Methoden-Wahl nach Bewusstseinsebene|Zuordnungs-Matrix|Die Auswahl richtet sich direkt nach dem Kano-Modell:<br>- <b>Befragung</b> (Interview, Fragebogen): Ermittelt explizite <b>Leistungsmerkmale</b>.<br>- <b>Kreativität</b> (Brainstorming, Walt-Disney): Deckt <b>Begeisterungsmerkmale</b> auf.<br>- <b>Beobachtung</b> (Feldbeobachtung, Apprenticing): Findet unterbewusste <b>Basismerkmale</b>.<br>- <b>Artefaktbasiert</b> (Systemarchäologie): Findet ebenfalls <b>Basismerkmale</b> (oft in Altsystemen).|Ein Interview allein reicht für ein vollständiges Lastenheft niemals aus! Stakeholder äußern in Interviews nur das, was ihnen bewusst ist (Leistungsmerkmale). Um Innovationen (Begeisterung) zu finden, braucht es Kreativtechniken. Um die selbstverständlichen Dinge (Basis) nicht zu vergessen, muss man dem Nutzer bei der Arbeit zusehen (Beobachtung) oder alte Handbücher lesen (Artefakte).|Willst du wissen, wie groß der Monitor sein soll? Mach ein Interview (Befragung). Willst du eine revolutionäre neue App-Idee? Mach ein Brainstorming (Kreativität). Willst du wissen, welche Tastenkürzel der Sachbearbeiter blind drückt? Setz dich neben ihn (Beobachtung).|Befragung = Bewusst, Kreativ = Unbewusst, Beobachtung = Unterbewusst|Befragung = Leistungsmerkmale; Kreativität = Begeisterungsmerkmale; Beobachtung/Artefakte = Basismerkmale.|Befragung = Basismerkmale; Kreativität = Leistungsmerkmale; Beobachtung = Begeisterungsmerkmale; Artefakte = Hardware.|Alle Techniken dienen gleichermaßen nur der Findung von Leistungsmerkmalen, das Kano-Modell wird ignoriert.|Befragung = Budgetplanung; Kreativität = Design; Beobachtung = Server-Logs; Artefakte = Quellcode.|Auswahlmatrix Kano_Modell Ermittlungstechniken Befragung Kreativität Beobachtung Apprenticing
Bachelor Professional IT|Anforderungsermittlung (Fundamentale Basis)|Was bildet die methodische Basis der Anforderungsermittlung und welchen operativen Zweck erfüllt die direkt im Anschluss folgende Bewertungsphase?|Zielsetzung & Problemanalyse|W-Fragen & Verbindlichkeit|Die fundamentale Basis bilden die <b>W-Fragen</b>:<br>- <b>Was/Warum:</b> Problem und Zielsetzung.<br>- <b>Wer/Wo:</b> Betroffene und Ort/Prozess.<br>- <b>Wie/Womit/Wie viel:</b> Lösung, Workaround und Aufwand.<br>Nach der Ermittlung folgt zwingend die <b>Bewertung</b>, um die <b>Verbindlichkeit</b> der Umsetzung festzulegen.|Die W-Fragen verhindern, dass Entwickler direkt in den Lösungsraum springen, bevor der Problemraum verstanden wurde ("Solutioneering"). Ohne ein klares "Warum?" wird oft Software gebaut, die zwar funktioniert, aber das eigentliche Geschäftsproblem nicht löst. Die Bewertung klärt dann vertraglich: Ist dieser Wunsch ein hartes "Must-have" oder ein weiches "Nice-to-have"?|Der Entwickler will sofort einen neuen Load-Balancer kaufen (Lösungsraum). Der RE stellt die W-Fragen: "Warum stürzt das System ab? Wer ist betroffen?". Ergebnis: Es liegt nicht am Traffic, sondern an einem ineffizienten Datenbank-Query der Buchhaltung.|Die 7 W-Fragen: Wer, was, wann, wo, warum, wie, womit?|Die Basis bilden systematische W-Fragen (Was, Warum, Wer, Wie etc.); die anschließende Bewertung legt die Verbindlichkeit der Umsetzung fest.|Die Basis ist das Raten von Funktionen; die Bewertung dient der sofortigen Löschung der Dokumente.|Die Basis bildet ausschließlich das Kano-Modell; die Bewertung ermittelt die Hardware-Kosten.|Die Basis ist der geschriebene Quellcode; die Bewertung testet die Server-Auslastung.|W_Fragen Basis Ermittlung Problemraum Verbindlichkeit Bewertung RE
Bachelor Professional IT|Bewertung & Priorisierung (Verbindlichkeit)|Wie definieren Modalverben (Muss, Soll, Kann) im Requirements Engineering die vertragliche Verbindlichkeit einer Anforderung?|Haftung und Vertragsrecht|RFC 2119 (shall, should, may)|Modalverben steuern die Verbindlichkeit:<br>- <b>Muss (shall):</b> Rechtlich/vertraglich <b>zwingend (Pflicht)</b>. Fehlt es, scheitert die Abnahme.<br>- <b>Soll (should):</b> Dringender Wunsch. Eine Abweichung ist <b>begründungspflichtig</b>.<br>- <b>Kann (could):</b> Optionaler Vorschlag ohne Umsetzungsgarantie.|In juristischen Auseinandersetzungen (Werkvertrag) wird jedes "Muss" im Lastenheft geprüft. Steht dort versehentlich ein "Sollte das System schnell sein", hat der Kunde vor Gericht schlechte Karten, da "Soll" eine legitime Abweichung erlaubt. RFC 2119 standardisiert diese Begriffe in der IT-Welt strikt.|Lastenheft-Review: "Das System muss Backups machen" (Pflicht, sonst haftet IT). "Das System soll ein dunkles Design haben" (Wunsch, bei Zeitmangel verschiebbar, aber PM muss es dem Kunden erklären). "Das System kann Töne abspielen" (Nice-to-have, Entwickler entscheidet spontan).|Muss = MUSS (Pflicht), Soll = SORRY (Begründung bei Abweichung), Kann = KANNSTE DIR SCHENKEN (Optional).|"Muss" ist vertraglich zwingend (Pflicht), "Soll" ist abweichungsbegründungspflichtig (Wunsch), "Kann" ist völlig optional (Vorschlag).|"Muss" ist ein optionaler Vorschlag, "Soll" ist vertraglich zwingend und "Kann" ist begründungspflichtig.|Alle Modalverben haben die gleiche rechtliche Bindung, solange sie in einem Lastenheft dokumentiert sind.|"Kann" führt zwingend zum Scheitern der Abnahme, während "Muss" auf spätere Versionen verschoben werden darf.|Priorisierung Bewertung Modalverben Verbindlichkeit Lastenheft Recht
Bachelor Professional IT|Bewertung & Priorisierung (MoSCoW & Methodik)|Wie strukturiert die MoSCoW-Methode die Anforderungen und welche Methodik wird empfohlen, wenn bei komplexen Konflikten eine einfache Ad-hoc-Priorisierung nicht mehr ausreicht?|Kategorisierung nach Wichtigkeit|Analytischer paarweiser Vergleich|<b>MoSCoW</b> kategorisiert in:<br>- <b>Must have:</b> Mindestvoraussetzung für Abnahme.<br>- <b>Should have:</b> Wichtig, kann ggf. später geliefert werden.<br>- <b>Could have:</b> Nice-to-have (ohne Zusatzkosten).<br>- <b>Won't have:</b> Aktuell ausgeschlossen.<br>Für komplexe Konflikte nutzt man den <b>analytischen paarweisen Vergleich (Präferenzmatrix)</b> statt ungenauer Ad-hoc-Rankings.|Der paarweise Vergleich (jede Anforderung wird einzeln gegen jede andere Anforderung gewichtet) verhindert emotionale Entscheidungen und das Phänomen, dass Stakeholder anfangs "alles als Must-have" deklarieren. Die Präferenzmatrix zwingt zur harten Entscheidung: "Ist A wichtiger als B?". Das Resultat ist eine mathematisch fundierte, unangreifbare Rangfolge.|20 Fachabteilungen streiten um IT-Budget. Statt per Handzeichen abzustimmen (Ad-hoc), führt der RE eine Präferenzmatrix durch. Feature A gewinnt gegen B, C, D. Am Ende der Matrix steht ein klares, logisches Ranking. Die Top-Features werden dann in die "Must-have"-Kategorie nach MoSCoW sortiert.|Must = Muss, Should = Soll, Could = Kann, Won't = Weg damit. (Matrix besiegt Bauchgefühl).|MoSCoW priorisiert in Must, Should, Could, Won't; bei komplexen Konflikten liefert der analytische paarweise Vergleich (Präferenzmatrix) zuverlässigere Ergebnisse als Ad-hoc-Rankings.|MoSCoW ist ein rein mathematisches Ranking-Verfahren; bei Konflikten wird immer die Ad-hoc-Methode per Losentscheid bevorzugt.|"Won't have" bedeutet, dass die Anforderung sofort umgesetzt werden muss, aber ohne Budget.|Die Präferenzmatrix ist ein Synonym für das "Could have" und verhindert jegliche Priorisierung.|MoSCoW Priorisierung Präferenzmatrix Konfliktlösung Requirements_Engineering
